state_str,state_abbrev,domesticmig_pctchg2024,domesticmig_pctchg_pct2024,netdomesticmig_rank_2024,uhaul2024_rank,uvl_net_pct_2024,uvl_net_pct_rank_2024
South Carolina,SC,0.012629017619338398,1.2629017619338399,1,1,0.2347495846190363,3
Idaho,ID,0.008311509891320781,0.8311509891320781,2,10,0.13010446343779677,11
Delaware,DE,0.007868408941136969,0.786840894113697,3,21,0.27766990291262134,2
North Carolina,NC,0.007562408850723942,0.7562408850723943,4,3,0.20298879202988793,5
Tennessee,TN,0.006781468723210429,0.6781468723210429,5,5,0.08458422682868716,16
Nevada,NV,0.005243029489824267,0.5243029489824267,6,35,0.06513761467889909,21
Alabama,AL,0.005085905254204401,0.5085905254204401,7,16,0.17087967644084934,6
Montana,MT,0.0047821006238829246,0.47821006238829245,8,24,0.024110218140068886,24
Arizona,AZ,0.00467039661438397,0.46703966143839704,9,6,0.15576797740603954,10
Arkansas,AR,0.0043867608112559105,0.43867608112559103,10,12,0.15647668393782382,9
Maine,ME,0.0038073912975138,0.38073912975137997,11,13,-0.007963594994311717,30
New Hampshire,NH,0.003486666300575025,0.34866663005750254,12,33,0.030110935023771792,23
Oklahoma,OK,0.003453840441233284,0.3453840441233284,13,11,-0.016055045871559634,32
Florida,FL,0.0027949080518604166,0.27949080518604164,14,4,0.10183074773913683,14
Texas,TX,0.002774905794052244,0.27749057940522437,15,2,0.01784931421055928,25
West Virginia,WV,0.0025529583534548246,0.25529583534548245,16,30,0.3117206982543641,1
South Dakota,SD,0.0023216687266213293,0.23216687266213293,17,19,-0.05694760820045558,36
Georgia,GA,0.0022885042811054378,0.2288504281105438,18,15,0.06989443028758646,19
Missouri,MO,0.0019795304088022657,0.19795304088022656,19,28,0.015625,26
Kentucky,KY,0.001602867317350808,0.1602867317350808,20,25,-0.025967143614202437,34
Wyoming,WY,0.0014716263265574711,0.1471626326557471,21,36,-0.13360323886639677,42
Wisconsin,WI,0.0010677179720440678,0.10677179720440677,22,22,0.06782768102658111,20
Utah,UT,0.0009351706047417216,0.09351706047417216,23,9,-0.002730748225013654,28
Colorado,CO,0.0009187745357451927,0.09187745357451926,24,40,-0.09728575785300396,39
Indiana,IN,0.0006203370255595424,0.062033702555954244,25,8,0.10669546436285098,12
Virginia,VA,0.0006049445400721377,0.06049445400721377,26,17,0.10438617985787797,13
Washington,WA,0.0003399377904934507,0.03399377904934507,27,7,-0.0025056675814341964,27
Iowa,IA,-7.17744827110496e-05,-0.007177448271104961,28,23,0.07848568790397045,18
Minnesota,MN,-0.00020180606871348893,-0.020180606871348893,29,18,0.07930174563591022,17
Ohio,OH,-0.0002082199695975164,-0.020821996959751638,30,14,-0.007194244604316547,29
Oregon,OR,-0.0002731769610732234,-0.02731769610732234,31,34,0.15873015873015872,8
Rhode Island,RI,-0.00027641107855602855,-0.027641107855602854,32,38,0.16498316498316498,7
North Dakota,ND,-0.0003687993237411713,-0.03687993237411713,33,31,-0.15608919382504288,43
District of Columbia,DC,-0.0004903073368600543,-0.04903073368600543,34,,0.22404371584699453,4
New Mexico,NM,-0.000740631087459527,-0.0740631087459527,35,37,0.09447852760736196,15
Nebraska,NE,-0.0007535726790162707,-0.07535726790162707,36,29,-0.11188204683434519,40
Michigan,MI,-0.000759271020481673,-0.0759271020481673,37,43,-0.046064139941690965,35
Vermont,VT,-0.000787719590324152,-0.0787719590324152,38,20,,
Pennsylvania,PA,-0.0008834111592958552,-0.08834111592958552,39,46,-0.015035854730511219,31
Kansas,KS,-0.001592749449432492,-0.1592749449432492,40,32,0.04859028194361128,22
Connecticut,CT,-0.0016634536756973536,-0.16634536756973536,41,41,-0.08782556026650515,38
Mississippi,MS,-0.0016781214281734128,-0.16781214281734128,42,39,-0.12235510579576817,41
Maryland,MD,-0.002977129711751306,-0.2977129711751306,43,42,-0.01809954751131222,33
New Jersey,NJ,-0.00379054978857402,-0.379054978857402,44,48,-0.3388822829964328,48
Louisiana,LA,-0.0037935332735696548,-0.3793533273569655,45,44,-0.08150851581508516,37
Massachusetts,MA,-0.003888733540807928,-0.3888733540807928,46,49,-0.15764283577624888,44
Illinois,IL,-0.004448176548194432,-0.44481765481944324,47,45,-0.19877467665078286,47
Alaska,AK,-0.00512416667798129,-0.512416667798129,48,27,,
California,CA,-0.006111810921859053,-0.6111810921859053,49,50,-0.15935521013241222,45
New York,NY,-0.006126298406469313,-0.6126298406469313,50,47,-0.18029115341545351,46
Hawaii,HI,-0.006466687988721974,-0.6466687988721974,51,26,,
